KECAMATAN;KABUPATEN/KOTA;PROVINSI;X;Y
;;;98.15997885850;2.11365485515
;;Jawa Timur;112.87516328200;-7.57181786179
;;Sumatera Barat;100.08886907900;-0.86685097989
;;Maluku;127.57080938500;-5.50507809833
;;Maluku Utara;128.79692245700;0.57287526006
;Serdang Bedagai;Sumatera Utara;99.49829834520;3.77518744323
;Bengkulu Utara;Bengkulu;101.04360676400;-4.00390709190
;Belitung Timur;Kepulauan Bangka Belitung;108.05138021700;-3.79683461675
;Natuna;Kepulauan Riau;108.96481355600;2.02214682318
;Tulungagung;Jawa Timur;111.77438103500;-8.35916471708
;Blitar;Jawa Timur;112.25198781000;-8.34032537736
;Mempawah;Kalimantan Barat;108.65019570400;0.20872461257
;Paser;Kalimantan Timur;116.55040922200;-2.20423833455
;Minahasa Selatan/Bolaang Mongondwo Timur;Sulawesi Utara;124.46146388600;0.75338719292
;Bolaang Mongondow Utara;Sulawesi Utara;123.10609430400;1.04507807588
;Kota Palopo;Sulawesi Selatan;120.20169401500;-2.95912027037
;Boalemo;Gorontalo;122.11923296500;0.40668348197
;Pahuwato;Gorontalo;121.47208549600;0.47287850618
;Kepulauan Tanimbar;Maluku;126.66071576400;-6.63681730900
Wuyuneri;Puncak Jaya;Papua Tengah;137.94641439300;-3.74075148614
Bakongan;Aceh Selatan;Aceh;97.45797144850;2.96197467416
Kluet Utara;Aceh Selatan;Aceh;97.34523785480;3.12226660324
Kluet Selatan;Aceh Selatan;Aceh;97.43605457080;3.03650920802
Labuhanhaji;Aceh Selatan;Aceh;97.06900730270;3.62090358073
Meukek;Aceh Selatan;Aceh;97.16857388310;3.56827632956
Samadua;Aceh Selatan;Aceh;97.19180239290;3.33797423537
Sawang;Aceh Selatan;Aceh;97.14411992430;3.41027082207
Tapaktuan;Aceh Selatan;Aceh;97.21996277400;3.28623081335
Trumon;Aceh Selatan;Aceh;97.70877192500;2.64388693045
Pasi Raja;Aceh Selatan;Aceh;97.29380147100;3.20977004626
Labuhan Haji Timur;Aceh Selatan;Aceh;97.08466137730;3.59541645771
Labuhan Haji Barat;Aceh Selatan;Aceh;97.03739801150;3.62694263491
Kluet Tengah;Aceh Selatan;Aceh;97.33593032260;3.40900274117
Kluet Timur;Aceh Selatan;Aceh;97.46046138580;3.21315623437
Bakongan Timur;Aceh Selatan;Aceh;97.55849593550;2.91061042798
Trumon Timur;Aceh Selatan;Aceh;97.80472649740;2.88676295817
Kota Bahagia;Aceh Selatan;Aceh;97.55699204940;3.01585589404
Trumon Tengah;Aceh Selatan;Aceh;97.65793955040;2.90039629689
Lawe Alas;Aceh Tenggara;Aceh;97.61788405620;3.42850205247
Lawe Sigala-Gala;Aceh Tenggara;Aceh;97.93639112050;3.35263172021
Bambel;Aceh Tenggara;Aceh;97.88449866520;3.45122496489
Babussalam;Aceh Tenggara;Aceh;97.63742407670;3.49051539000
Badar;Aceh Tenggara;Aceh;97.81883299290;3.59376911633
Babul Makmur;Aceh Tenggara;Aceh;97.96825324140;3.31279584395
Darul Hasanah;Aceh Tenggara;Aceh;97.62656258860;3.55760966134
Lawe Bulan;Aceh Tenggara;Aceh;97.86966928050;3.50045563011
Bukit Tusam;Aceh Tenggara;Aceh;97.89023873590;3.42434992354
Semadam;Aceh Tenggara;Aceh;97.90198045520;3.40108295545
Babul Rahmah;Aceh Tenggara;Aceh;97.69553386040;3.30541306306
Ketambe;Aceh Tenggara;Aceh;97.54858409660;3.66219521209
Deleng Pokhkisen;Aceh Tenggara;Aceh;97.85766494930;3.53307697684
Lawe Sumur;Aceh Tenggara;Aceh;97.89038348600;3.47440321149
Tanoh Alas;Aceh Tenggara;Aceh;97.67194831040;3.35580263571
Leuser;Aceh Tenggara;Aceh;97.73595357920;3.12045379548
Darul Aman;Aceh Timur;Aceh;97.70309318650;4.96901461651
Julok;Aceh Timur;Aceh;97.60059261030;5.03708399424
Idi Rayeuk;Aceh Timur;Aceh;97.75775648320;4.95447075783
Birem Bayeun;Aceh Timur;Aceh;97.87039277790;4.48232160300
Serbajadi;Aceh Timur;Aceh;97.45044501460;4.42030101615
Nurussalam;Aceh Timur;Aceh;97.66013437900;4.96531571674
Peureulak;Aceh Timur;Aceh;97.85224385730;4.77143677816
Rantau Selamat;Aceh Timur;Aceh;97.83954802130;4.60975599569
Simpang Ulim;Aceh Timur;Aceh;97.58069307380;5.11164881061
Ranto Peureulak;Aceh Timur;Aceh;97.73836972900;4.74832598083
Pante Bidari;Aceh Timur;Aceh;97.45166930880;4.83208302558
Madat;Aceh Timur;Aceh;97.51838418050;5.16795918996
Indra Makmu;Aceh Timur;Aceh;97.58479434630;4.85931233046
Idi Tunong;Aceh Timur;Aceh;97.72755272780;4.87309301126
Banda Alam;Aceh Timur;Aceh;97.65542859430;4.81336976441
